s_no,brand_name,description
14,PARFAIT,Black striped medium-coverage T-shirt braLightly Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
15,Michael Kors,Michael Kors Sexy Amber Eau de ParfumFragrance Notes:Top notes - amberHeart notes - sandalwoodBase - white flowers
16,HIGHLANDER,"Mustard and black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
12,SEJ by Nisha Gupta,Set content: 6 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 6 seater tableMaterial: Cotton
3,3,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
17,JEWEL JUNCTION,A pair of gold-toned square solid cufflinks
18,ID,A pair of tan brown fisherman sandalsLeather upper with velcro closureCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
19,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: Fine Thread count: 210Colour: MulticolouredPattern: Geometric
4,Raymond,"Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
20,Gini and Jony,"Navy Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
12,SEJ by Nisha Gupta,Set content: 6 table mats Shape: Rectangle Colour: Pink and blue Pattern: Printed Suitable For: 6 seater table Material: Cotton 
21,Sera,"Blue printed kurta with palazzos Blue A-line calf length kurta, has a round neck, short sleeves, flared hem Blue solid palazzos, button closure"
22,AccessHer,"Gold-toned and pink gold-plated maang tikka with arificial stoned and beads studded, gold-platedSecured with a fish-hook ear wire"
5,Parx,"Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
23,Alcis,"Alcis Women  Yellow & Blue Colorblocked Tights, three-fouth length, elasticated waist"
18,ID,"A pair of brown square-toed formal slip-on shoes, has elasticated gussets on both sidesLeather upper, has a textured detailCushioned footbedTextured TPR outsoleWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
24,Difference of Opinion,"Navy Blue Solid T-shirt, has a round neck, long sleeves, has side stripes in the sleeves"
5,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one pocket"
15,Michael Kors,"What it is:Extreme Blue For Men EdWhat it does:Masculine and sensuous at the same time is this 'Blue Eau De Toilette' from Michael Kors. Exuding unmatched freshness, this EDT is a must-have in your collection of fragrances. Available in a 70 ml pack, this EDT has top notes of bergamot, spicy pink pepper and invigorating cardamom. The heart notes are of juniper, cypress, nutty sesame and herbaceous sage, while the base notes include warm ambrox, musk and patchouli."
25,Tokyo Talkies,"Off-White and pink printed woven fit and flare dress, has a round neck, three-quarter sleeves, concealed zip closure,, flared hem"
26,ANNA SUI,"ANNA SUI La Vie De Boheme Eau De ToiletteStrong perfumeLasts 2 to 3 hoursFresh FragranceTop notes: Turkish rose, sparkling pear, berries and pitahaya accordHeart notes: Red magnolia, peony, pink freesiaBase notes: dry woods, sandalwood, musk and black vanillaIt comes in a 75 ml bottle."
16,HIGHLANDER,"Navy Blue and maroon checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
27,her by invictus,"A pair of pointed closed toe brown mules with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
18,ID,"A pair of round-toe beige derbys, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
3,3,"Blue medium wash 5-pocket mid-rise ankle-length jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops"
3,3,"Blue dark wash 5-pocket mid-rise ankle-length jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
28,Soie,Nude-Coloured solid full-coverage Maternity bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
29,Lara Karen,"Black solid woven maxi skirt, has a slip-on closure, flared hem"
20,Gini and Jony,"Yellow embellished woven fit and flare dress, has a round neck, short sleeves, zip closure, an attached lining, and flared hem"
19,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Off-White and bluePattern: Geometric
14,PARFAIT,Blue solid medium-coverage plunge bra with lace detailLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
30,Urban Dog,"Grey solid mid-rise sports shorts, has two pockets, a drawstring closure"
31,ahilya,"Sterling silver textured bangle, has animal-shaped detail on the endsNote: This jewellery is handcrafted, therefore there might be slight variations from the image."
14,PARFAIT,Blue solid medium-coverage T-shirt braLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
32,VASTRAMAY,"Navy Blue and maroon solid kurta with dhoti pantsNavy Blue straight above knee kurta, has a mandarin collar, long sleeves, curved hemGold-toned solid dhoti pants, slip-on closureMaroon woven design nehru jacket, has a mandarin collar, sleeveless, one welt pocket"
24,Difference of Opinion,"Grey printed T-shirt, has round neck, long sleeves"
33,Campus Sutra,"White and blue colourblocked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
34,FIDO DIDO,"White and black printed T-shirt,has round neck,short sleeves"
35,MIAH Decor,Type: BowlsPattern: PrintedFinish: Matte Material: Ceramic
17,JEWEL JUNCTION,A pair of gold-toned and blue geometric printed cufflinksComes in a signature JEWEL JUNCTION case
9,Vishudh,"Off-White and green printed woven A-line dress, has a mandarin collar, three-quarter sleeves, button closure,, flared hem"
30,Urban Dog,"Grey printed mid-rise sports shorts, has two pockets, a drawstring closure"
14,PARFAIT,"Navy blue and white solid low rise bikini briefs, has an inner elasticated waistband with lace detail, double layered gusset"
12,SEJ by Nisha Gupta,Set content: 6 table mats Shape: Rectangle Colour: Yellow and bluePattern: Printed Suitable For: 6 seater table Material: Cotton 
18,ID,"A pair of square toe brown loafers, has regular styling, slip-on detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
14,PARFAIT,Red solid medium-coverage T-shirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
3,3,"Blue medium wash 5-pocket mid-rise cropped jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops"
3,3,"Blue dark wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
4,Raymond,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
36,BuckleUp,Multicoloured printed beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer
37,Peter England,"A pair of black briefs, has an elasticated waistband and a panelled front with a double-layered contoured pouch"
38,AIGNER,"NotesTop notes: Mandarin, bergamot, ozonic, orange, tamarind, cardamom, black pepper, clove tones and crisp mint leavesHeart notes: Spicy woody notesBase notes: Crystal amber, vanilla guaiacwood, olibanum, patchouli, sandalwood, moos"
20,Gini and Jony,"Blue solid jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem"
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-TonedPattern: SolidShape: FrustumShade material: FabricBase material: AluminiumSwitch Type: Toggle Button
33,Campus Sutra,"Black solid T-shirt, has a round neck, and long sleeves with faux leather detail"
35,MIAH Decor,Type:  Set of 3 Blue & Off-White Handpainted Kitchen Storage Jars with LidsPattern: PrintedFinish: GlossyMaterial: Ceramic
20,Gini and Jony,"Peach-Coloured net embroidered woven fit and flare dress with embellished detail, has a round neck, short sleeves, concealed zip closure, tie-up on the back, attached lining and flared hem"
12,SEJ by Nisha Gupta,Set content: 1 open dry binColour: Blue and greenPattern: Floral printShape: Rectangular
5,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
14,PARFAIT,Black lace full-coverage everyday braNon padded and non-wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: Side Bone
5,Parx,"Blue checked casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one patch pocket"
39,Lady Lyka,Black and white solid medium-coverage beginners brasNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
12,SEJ by Nisha Gupta,Set content: 4 table matsShape: RectangleColour:multicolouredPattern: PrintedSuitable For: 4 seater tableMaterial: Cotton
27,her by invictus,"A pair of round closed toe red loafers with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
17,JEWEL JUNCTION,A pair of gold-toned and black round solid cufflinks
14,PARFAIT,Black solid full-coverage Sports bra with mesh detailNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
27,her by invictus,"A pair of pointed closed toe tan brown slip-on shoes with cushioned footbed and comfortable lining, has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
1,DKNY,"Black solid medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
5,Parx,"Yellow and off-white checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
19,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Mauve and GreyPattern: Geometric
5,Parx,"Blue and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
27,her by invictus,"A pair of pointed toe green slip-ons with cushioned footbed, has regular styling, slip-on detailSynthetic Suede upperFoam cushioned footbedTextured and patterned outsole"
40,Park Avenue,"Blue dark wash five-pocket mid-rise jeans, clean look with light fade, has a button and zip closure, waistband with belt loops"
41,Roadster,"A pair of black open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
27,her by invictus,"A pair of black pointed toe cushioned flats, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole"
42,U.S. Polo Assn. Denim Co.,"Navy solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and attached lining with 3 inner pockets"
12,SEJ by Nisha Gupta,Set content: 6 table mats Shape: Rectangle Colour: Pink and multicoloured Pattern: Printed Suitable For: 6 seater table Material: Cotton 
20,Gini and Jony,"Navy Blue washed denim jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem, and unlined"
43,Sweet Dreams,"Navy blue solid straight-fit trackpant, has an elasticated waistband with a drawstring fastening, two pockets"
44,Kazo,"Yellow printed woven shirt dress, has a mandarin collar, long sleeves, button closure,, tulip hem"
20,Gini and Jony,"Red and Grey Melange solid varsity jacket, has a stand collar, snap button closure, long sleeves, straight hem, unlined"
14,PARFAIT,Beige solid medium-coverage Plunge bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
5,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
5,Parx,"Black and red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
18,ID,"A pair of tan brown square-toed formal oxfords, has central lace-upsLeather upperCushioned footbedTextured TPU outsole, has a stacked heelWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
45,Stylo Bug,"Turquoise Blue printed woven A-line dress, has a round neck, sleeveless, concealed zip closure,, flared hem"
14,PARFAIT,"Black and red printed low-rise hipster briefs with lace detail, has an inner elasticated waistband with lace detail, double layered gusset"
35,MIAH Decor,Set Of 5 Ceramic Kulladhs Pattern: PrintedFinish: GlossyMaterial: CeramicFeatures: Handcrafted
17,JEWEL JUNCTION,A pair of gold-toned geometric textured cufflinksComes in a signature JEWEL JUNCTION case
25,Tokyo Talkies,"Black and Red printed woven fit and flare %S, has a round neck, three-quarter sleeves, concealed zip closure, and flared hem"
12,SEJ by Nisha Gupta,Set content: 6 table matsShape: RectangleColour: Mustard yellow and greyPattern: PrintedSuitable For: 6 seater tableMaterial: Cotton
21,Sera,"Black and pink printed above knee length mid-rise-rise regular shorts, has two pockets"
20,Gini and Jony,"Black and grey embroidered, has a partially elasticated waistband, hook and bar closure, 4 pockets"
22,AccessHer,Gold-plated and black multistranded head chain Secured with insert closure
46,Bvlgari,"NotesTop notes: Violet Leaves absolute, HeliotropeHeart notes: Orris abs, Mimosa absBase notes: Tonka beans, Heart of Vetiver, Sandalwood ess"
31,ahilya,"Sterling silver ring, has a circular detail with multiple teardrop-shaped patterns"
3,3,"Blue medium wash 5-pocket high-rise cropped jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
34,FIDO DIDO,"Black and grey colourblocked printed T-shirt, has a round neck, short sleeves"
5,Parx,"Pink solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
5,Parx,"Navy Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
21,Sera,"White self-design knitted regular  top, has a round neck, sleeveless, and concealed zip closure"
46,Bvlgari,NotesTop notes: Airy Bamboo and Exotic Asian Fruit NashiHeart notes: Lotus BlossomBase notes: Elegant Woodsy
18,ID,A pair of grey solid flip flopsSynthetic upper materialCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
17,JEWEL JUNCTION,A pair of silver-toned geometric solid cufflinksComes in a signature JEWEL JUNCTION case
1,DKNY,"Gold and white printed cabin trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
5,Parx,"Khaki solid mid-rise regular trousers, has a button closure, four pockets"
47,Qraa Men,"What It Is?:Qraa Men Pack of 2 Face And Beard Wash 100gm eachWhat It Does?:It's essential to feel fresh while maintaining the perfect charming look. Qraa's invigorating Face and Beard Wash is formulated with an amazing blend of natural botanicals, vitamins, antioxidants, and cleansers to cleanse your handsome face and your glorious beard without over-drying. Qraa men face and beard wash is a great addition to any men's beard grooming regimen. This ace and Beard Wash leaves beard hair clean, refreshed and soft. This wash is enriched with Olive Oil and a touch of Jojoba Seed Oil to create a rich lather to remove dirt, oil, and impurities while naturally-derived conditioners help maintain shine and moisture. It is gentle on the skin and effective enough to work on a rough, coarse beard, the face wash is enriched with natural ingredients that provide deep cleansing, clear skin, and a soft beard.Features:Hydrates, soothes and helps firm the skinCleanses the beard and face without over-dryingProvides essential nourishing elements to the skin cellsHelps eliminate odour trapped in the beardIngredients:Salicylic Acid, Ginseng Root Extract, Pro-Vitamin B5, Rosemary Leaf Oil"
14,PARFAIT,Blue lace half-coverage Plunge bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
39,Lady Lyka,Pack of 2Peach and Burgundy solid medium-coverage Everyday braNon Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
24,Difference of Opinion,T-shirt
15,Michael Kors,"NotesTop Notes: Freesia, incense and chinese osmanthusHeart Notes: Tuberose, lily, peony and orris rootBase Notes:Tahitian vetiver, musk and cashmere wood"
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
18,ID,"A pair of black round-toed formal derbys, has central lace-upsLeather upperCushioned footbedTextured PU outsole, has a stacked heelWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
28,Soie,Brown full-coverage Everyday bra Non Padded and Flexible Underwired seamless three layered cupsCushioned front straps with lace and back closureSandwiched brushed layer for no show apex
48,GAS,"Navy Blue dark wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and navy bluePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
16,HIGHLANDER,"Navy Blue and grey striped mid-rise regular trousers, has a button closure, four pockets"
49,WITH,"Black solid casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
18,ID,"A pair of black round-toed formal derbys, has central lace-upsLeather upper, has a textured detailCushioned footbedTextured PU outsole, has a stacked heelWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
3,3,"White light wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
50,ZUSH,"Black dark wash five-pocket mid-rise jeans, clean look with heavy fade, has a button and zip closure, waistband with belt loops"
19,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: SuperfineThread count: 210Colour: MustardPattern: Floral
1,DKNY,"Gold and white printed large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining , two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
33,Campus Sutra,"Green and navy blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
33,Campus Sutra,"Navy blue and grey melange colourblocked casual shirt, has a mandarin collar, long sleeves, button placket, and curved hem"
5,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
51,JBN Creation,"Maroon and brown sherwaniMaroon woven design sherwani, has a mandarin collar, a full button placket, a welt pocket, multipple slitsComes with a pocket squareA pair of brown mid-rise pyjama with gathers and pleats, has an elasticated waistband"
52,U.S. Polo Assn. Kids,"Navy sweatshirt with applique', has an attached hood with drawstring 
fastening, a full press-button placket with a concealed full zip closure
 on the front, long sleeves with elbow patches, four pockets, and an 
inner fleece lining"
46,Bvlgari,"Bvlgari Omnia Paraiba Eau De Toilette captures the myriad scents of floral, fruity and tropical notes. Features: Top notes: passion fruit, bitter orangeHeart notes: Passion flower and Brazilian gardeniaBase notes: etiver and Cocoa."
14,PARFAIT,Black solid medium-coverage everyday bra with lace detailLightly padded and underwired seamless cupsMultiway straps and back closureBack style: RegularFeature: Side Bone
14,PARFAIT,Beige self design full-coverage Minimizer braNon Padded and Underwired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
17,JEWEL JUNCTION,A pair of silver-toned geometric solid cufflinksComes in a signature JEWEL JUNCTION case
1,DKNY,"Black textured large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
53,DressBerry,"Off-white top, has a round neck, short sleeves, sequinned detail along the bodice, ruffled detail along the curved hem"
5,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
36,BuckleUp,Blue textured beltSecured with a tang closureWarranty: 1 monthWarranty provided by brand/manufacturer
20,Gini and Jony,"Black and white printed mid-rise trousers, hook and bar closure, and 4 pockets"
14,PARFAIT,"Lavender lace low-rise boy shorts, has an inner elasticated waistband with bow detailing, double layered gusset"
46,Bvlgari,The Roman Night Eau De Parfum
5,Parx,"Maroon printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
54,ColorPlus,"Blue checked mid-rise formal trousers, has a button closure, four pockets"
5,Parx,"Off-white and blue printed casual shirt, has a spread collar, short sleeves, button placket, curved hem, one patch pocket"
16,HIGHLANDER,"Grey self-design mid-rise trousers, button closure and four pockets"
5,Parx,"Beige solid mid-rise regular trousers, has a button closure, four pockets"
25,Tokyo Talkies,"Green solid regular top,has v-neck,bell sleeves"
36,BuckleUp,Tan textured beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer
3,3,"Black dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
35,MIAH Decor,Set Of 2 Ceramic Bowls Pattern: PrintedFinish: GlossyMaterial: Ceramic
55,Lakme,Lakme Absolute Matte Melt Liquid Lip ColorShade name: 21 Mauve Mix
33,Campus Sutra,"Blue and white ombre-dyed T-shirt, has a Henley neck, and short sleeves"
56,Allen Solly Woman,"White printed woven regular  top, has a round neck, and long sleeves"
57,Palm Tree,"Pink solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining"
14,PARFAIT,Purple and pink lace medium-coverage T-shirt braLightly Padded and Underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
58,Arrow,"A pair of taupe mid-rise formal trousers, has a zip fly with a button closure and a concealed hook-and-bar closure, an adjustable autoflex waistband with belt loops, four pockets, and adjustable hemsOur stylist has paired these trousers with a beltThis pair of trousers does not come with a belt "
17,JEWEL JUNCTION,A pair of silver-toned and black geometric printed cufflinksComes in a signature JEWEL JUNCTION case
24,Difference of Opinion,"Mustard yellow solid T-shirt, has a round neck, and long sleeves"
22,AccessHer," Oxidised gold-plated and white flower-shaped nosepin, has kundan-studded detail  Secured with a clip-on closure "
16,HIGHLANDER,"Grey and Black striped T-shirt, has round neck, short sleeves"
39,Lady Lyka,Red and white solid medium-coverage beginners brasNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
1,DKNY,"Silver textured medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
4,Raymond,"Green printed T-shirt, has a polo collar, short sleeves"
55,Lakme,Lakme Absolute Matte Melt Liquid Lip ColorShade name: 23 Pink Poison
55,Lakme,Lakme Absolute Mattreal Mousse ConcealerShade name: Caramel 04
59,DAVID BECKHAM,"NotesTop notes: Grapefruit, Watermelon, Pink PepperHeart notes: Cardamom, Lavendin, BasilBase notes: Vetiver, Patchouli, Moss"
22,AccessHer,Gold-Toned and Yellow Classic Earrings and gold-plated Secured with a post and back
60,MANGO,"Black and yellow printed woven layered top, has a tie-up neck, sleeveless, and button closure"
40,Park Avenue,"Maroon self-design regular top, has a round neck, long sleeves, lace insert detail"
31,ahilya,"A pair of maroon gold-plated sterling silver hoop earrings, has floral detail with multiple multifaceted stone embellishments, and a jhumki dangler with a cluster of beadsSecured with a stylised insert closure"
22,AccessHer,"Gold-plated and black beaded mangalsutra, handcrafted with vilandi Kundan, secured with an golden adustable chain"
39,Lady Lyka,Pack of 2 Beige and white solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
19,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: SuperfineThread count: 210Colour: Blue and PinkPattern: Floral
30,Urban Dog,"Charcoal balack printed mid-rise sports shorts, has two pockets, a drawstring closure"
18,ID,"A pair of round-toe beige flat boots, has mid-top styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
61,Carrera,"A pair of round-toe tan brown flat boots, has regular styling, lace-up detailSynthetic Leather upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer"
19,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Olive Green and GreyPattern: Geometric
33,Campus Sutra,"Red and black checked casual shirt, has a spread collar, short sleeves, button placket, and curved hem"
20,Gini and Jony,"Black solid mid-rise chinos, has hook-and-bar and zip closure, 5 pockets"
19,Story@home,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Green and WhitePattern: Floral
1,DKNY,Maroon backpackPadded haul loop3 and more main compartments with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: Yes       Comes with a pouchWarranty: 5 yearsWarranty provided by brand/manufacturer
5,Parx,"Khaki solid mid-rise regular trousers, has a button closure, four pockets"
28,Soie,Green full-coverage Everyday bra Non Padded and Flexible Underwired seamless three layered cupsCushioned front straps with lace and back closureSandwiched brushed layer for no show apex
4,Raymond,"Maroon striped T-shirt, has polo collar, short sleeves"
55,Lakme,Lakme Absolute Matte Melt Liquid Lip ColorShade name: 15 Rose Love
20,Gini and Jony,"Navy blue striped denim woven pinafore dress, has adjustable shoulder straps, sleeveless, concealed zip closure, and flared hem"
14,PARFAIT,Black solid medium-coverage Everyday bra Lightly Padded and Underwired seamless cups Multiway straps and back closure Back style: Regular Feature: All Day Comfort
5,Parx,"White and blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
30,Urban Dog,"Black printed mid-rise sports shorts, has two pockets, a drawstring closure"
